127.0.0.1, 2020-06-16 21:02:29, POST, /admin/default/check_version, HTTP/1.1, 200, 0.306811
127.0.0.1, 2020-06-16 21:02:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2020-06-16 21:02:42, POST, /admin/default/site, HTTP/1.1, 303, 1.089326
127.0.0.1, 2020-06-16 21:02:43, GET, /admin/default/design/LDS, HTTP/1.1, 200, 0.177888
127.0.0.1, 2020-06-16 21:02:43, GET, /admin/static/_2.20.4/images/search.png, HTTP/1.1, 200, 0.002998
127.0.0.1, 2020-06-16 21:02:43, GET, /admin/static/_2.20.4/images/help.png, HTTP/1.1, 200, 0.002999
127.0.0.1, 2020-06-16 21:02:43, GET, /admin/static/_2.20.4/images/test_icon.png, HTTP/1.1, 200, 0.001996
127.0.0.1, 2020-06-16 21:02:43, GET, /admin/static/_2.20.4/images/delete_icon.png, HTTP/1.1, 200, 0.002995
127.0.0.1, 2020-06-16 21:02:43, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2020-06-16 21:03:12, POST, /admin/default/create_file, HTTP/1.1, 303, 0.073951
127.0.0.1, 2020-06-16 21:03:12, GET, /admin/default/design/LDS, HTTP/1.1, 200, 0.127921
127.0.0.1, 2020-06-16 21:03:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2020-06-16 21:03:14, GET, /admin/default/peek/LDS/models/elements.py, HTTP/1.1, 200, 0.050968
127.0.0.1, 2020-06-16 21:03:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2020-06-16 21:03:16, GET, /admin/default/design/LDS, HTTP/1.1, 200, 0.134913
127.0.0.1, 2020-06-16 21:03:17, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2020-06-16 21:03:18, GET, /admin/default/peek/LDS/models/db.py, HTTP/1.1, 200, 0.024979
127.0.0.1, 2020-06-16 21:03:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000999
127.0.0.1, 2020-06-16 21:03:26, GET, /admin/default/design/LDS, HTTP/1.1, 200, 0.127923
127.0.0.1, 2020-06-16 21:03:27, GET, /favicon.ico, HTTP/1.1, 400, 0.001001
127.0.0.1, 2020-06-16 21:03:29, GET, /admin/default/delete/LDS/models/elements.py, HTTP/1.1, 200, 0.041471
127.0.0.1, 2020-06-16 21:03:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2020-06-16 21:03:31, POST, /admin/default/delete/LDS/models/elements.py, HTTP/1.1, 303, 0.021985
127.0.0.1, 2020-06-16 21:03:31, GET, /admin/default/design/LDS, HTTP/1.1, 200, 0.132918
127.0.0.1, 2020-06-16 21:03:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2020-06-16 21:11:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/default/edit/LDS/controllers/appadmin.py, HTTP/1.1, 200, 0.049972
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/js/calendar.js, HTTP/1.1, 200, 0.000998
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001999
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/js/web2py.js, HTTP/1.1, 200, 0.004998
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002999
